Time(s),CH1V,CH2V
7.040000e-02,5.066667e-03,3.744000e-02
7.060000e-02,-8.800000e-03,-1.672000e-02
7.080000e-02,-7.733333e-03,-1.544000e-02
7.100000e-02,6.133333e-03,-3.885333e-02
7.120000e-02,-7.133333e-03,-2.213333e-02
7.140000e-02,5.200000e-03,-3.416000e-02
7.160000e-02,5.200000e-03,-3.104000e-02
7.180000e-02,-7.400000e-03,-5.200000e-02
7.200000e-02,5.333333e-03,-4.653334e-02
7.220000e-02,-7.000000e-03,-5.354667e-02
7.240000e-02,5.066667e-03,-5.384000e-02
7.260000e-02,-5.933333e-03,-3.349333e-02
7.280000e-02,-8.800000e-03,-3.712000e-02
7.300000e-02,5.866667e-03,-2.960000e-03
7.320000e-02,-8.000000e-03,-5.120000e-03
7.340000e-02,5.466667e-03,4.034667e-02
7.360000e-02,-7.866667e-03,4.514667e-02
7.380000e-02,7.800000e-03,2.869333e-02
7.400000e-02,4.000000e-03,3.282667e-02
7.420000e-02,-6.333333e-03,2.106667e-03
7.440000e-02,9.400000e-03,1.018667e-02
7.460000e-02,-5.133334e-03,-4.746667e-03
7.480000e-02,1.113333e-02,4.000000e-03
7.500000e-02,-1.213333e-02,-1.426667e-02
7.520000e-02,1.100000e-02,-9.093333e-03
7.540000e-02,-1.400000e-02,-2.133333e-02
7.560000e-02,-1.186667e-02,-1.354667e-02
7.580000e-02,1.233333e-02,-3.880000e-02
7.600000e-02,-6.333333e-03,-3.722667e-02
7.620000e-02,4.400000e-03,-6.170667e-02
7.640000e-02,4.933333e-03,-6.034667e-02
7.660000e-02,-6.333333e-03,-3.488000e-02
7.680000e-02,-7.733333e-03,-3.600000e-02
7.700000e-02,6.400000e-03,-1.280000e-03
7.720000e-02,5.600000e-03,-4.346667e-03
7.740000e-02,-5.666667e-03,1.208000e-02
7.760000e-02,6.533334e-03,1.493333e-03
7.780000e-02,-8.933334e-03,1.949333e-02
7.800000e-02,6.533334e-03,1.565333e-02
7.820000e-02,-7.733333e-03,4.960000e-03
7.840000e-02,-8.666667e-03,6.453333e-03
7.860000e-02,5.333333e-03,1.938667e-02
7.880000e-02,1.140000e-02,2.352000e-02
7.900000e-02,-1.426667e-02,1.146667e-02
7.920000e-02,1.180000e-02,2.040000e-02
7.940000e-02,-1.333333e-02,-2.152000e-02
7.960000e-02,-1.493333e-02,-1.533333e-02
7.980000e-02,9.533334e-03,-5.200000e-02
8.000000e-02,-5.533333e-03,-4.597333e-02
8.020000e-02,4.800000e-03,-5.373333e-02
8.040000e-02,4.933333e-03,-5.506667e-02
8.060000e-02,-5.933333e-03,-3.696000e-02
8.080000e-02,-8.666667e-03,-4.040000e-02
