Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Ambient_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774496984.7329671,61.088,-9999.000000,29.749421,22.441801,30.0,58.7963,LOW,0.2,0.005,0.0
1774496984.8550172,61.210,-9999.000000,29.749831,22.443356,30.0,58.7963,LOW,0.2,0.005,0.0
1774496984.9714372,61.327,-9999.000000,29.734613,22.445690,30.0,59.1055,LOW,0.2,0.005,0.0
1774496985.084686,61.440,-9999.000000,29.749831,22.446078,30.0,58.8135,LOW,0.2,0.005,0.0
1774496985.2074895,61.563,-9999.000000,29.751066,22.450355,30.0,58.7847,LOW,0.2,0.005,0.0
1774496985.331672,61.687,-9999.000000,29.750652,22.451910,30.0,58.8013,LOW,0.2,0.005,0.0
1774496985.455797,61.811,-9999.000000,29.750242,22.455411,30.0,58.8091,LOW,0.2,0.005,0.0
1774496985.5789318,61.934,-9999.000000,29.750652,22.454632,30.0,58.8198,LOW,0.2,0.005,0.0
1774496985.692021,62.048,-9999.000000,29.751476,22.455020,30.0,58.8156,LOW,0.2,0.005,0.0
1774496985.8403137,62.196,-9999.000000,29.750242,22.454244,30.0,58.8624,LOW,0.2,0.005,0.0
1774496985.994268,62.350,-9999.000000,29.751476,22.450743,30.0,58.8727,LOW,0.2,0.005,0.0
1774496986.1397035,62.495,-9999.000000,29.751887,22.449188,30.0,58.8896,LOW,0.2,0.005,0.0
1774496986.2578743,62.613,-9999.000000,29.767522,22.445690,30.0,58.6065,LOW,0.2,0.005,0.0
1774496986.3769898,62.732,-9999.000000,29.753122,22.443356,30.0,58.9199,LOW,0.2,0.005,0.0
1774496986.5333827,62.889,-9999.000000,29.752301,22.438303,30.0,58.9786,LOW,0.2,0.005,0.0
1774496986.6567,63.012,-9999.000000,29.751887,22.432859,30.0,59.0269,LOW,0.2,0.005,0.0
